Stock,Max_Sharpe_Weight,Min_Vol_Weight,Equal_Weight
CI,2.79871492026099e-15,3.886289064324714e-18,0.01
MDT,9.885337898319608e-16,6.545074464568261e-18,0.01
ISRG,7.440363551539672e-15,0.0,0.01
REGN,8.80037129447311e-16,0.008221972663934596,0.01
VRTX,1.1383003693904013e-15,0.005396259551532864,0.01
ZTS,7.456092703284117e-15,2.9848417294040356e-18,0.01
ELV,3.6390043861193315e-16,1.3883455006271947e-17,0.01
WMT,0.057476599583758455,0.08456079948344616,0.01
HD,2.1487553884610514e-15,0.0,0.01
MCD,3.66553115951837e-15,0.09165523437919312,0.01
NKE,1.2864603763114108e-14,1.0462592034411696e-17,0.01
COST,1.7742067536168717e-15,0.0,0.01
PG,3.1276017921591524e-15,0.03434733632662332,0.01
KO,4.791165746463218e-15,0.059159969974337936,0.01
PEP,2.681243072660401e-15,0.0,0.01
LOW,1.2663413891677832e-15,4.937221306158125e-18,0.01
SBUX,7.881272591357085e-15,0.0,0.01
TJX,2.7875687781487386e-15,0.018818505900670766,0.01
BKNG,4.2481631673107876e-15,0.0,0.01
MAR,2.9772548422173676e-15,1.603474314544336e-18,0.01
PM,0.09999999999996038,0.03513263622182704,0.01
MDLZ,1.5409741203609651e-15,0.00023712197635433497,0.01
XOM,0.09999999999996226,0.031179329586396548,0.01
CVX,1.2499535825013177e-15,0.027074686360154063,0.01
COP,4.234177946167772e-15,0.0,0.01
SLB,7.782584717391273e-15,0.0,0.01
EOG,2.6409152726023586e-15,0.0,0.01
UPS,6.913805271804768e-15,0.006292481538030323,0.01
RTX,2.0940646453011038e-15,1.1088648598088191e-17,0.01
HON,6.449610757216613e-15,2.2264205259027778e-18,0.01
CAT,1.861944333881473e-15,1.4580857526411215e-17,0.01
BA,1.3073987890332372e-14,1.0803693609397827e-17,0.01
UNP,2.367710581199953e-15,6.996405230702523e-18,0.01
GE,0.08079861325658447,7.141572649402562e-18,0.01
LMT,4.328334911384673e-15,0.090789177471161,0.01
DE,9.140173373567262e-16,4.43053713572381e-18,0.01
MMM,4.497982963783457e-15,0.0,0.01
DUK,5.788694991258905e-15,0.07596120111673169,0.01
SO,0.019320041597144642,0.0,0.01
NEE,6.985712109614593e-16,1.76576189411078e-17,0.01
D,9.243048121494399e-16,4.566011951965575e-19,0.01
AEP,4.312781490109739e-15,0.0,0.01
