unemployment,cpi,gdp,dff,consumer
,,,2.0,
,,,1.94,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
,,,2.0,
4.1,26.85,,2.0,
,,,2.13,
,,,2.13,
,,,2.13,
,,,2.13,
,,,2.0,
,,,2.0,
,,,2.13,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.19,
,,,2.0,
,,,2.25,
,,,2.19,
,,,2.19,
,,,2.19,
,,,2.19,
,,,2.19,
,,,2.19,
,,,2.19,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.19,
4.3,26.82,437.092,2.19,
,,,2.19,
,,,2.25,
,,,2.25,
,,,2.19,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.19,
,,,2.19,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
4.2,26.88,,2.25,99.7
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.25,
,,,2.19,
,,,2.25,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.44,
4.2,26.87,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.44,
,,,2.25,
,,,2.44,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.44,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.38,
,,,2.5,
,,,2.5,
,,,2.5,
4.0,26.83,439.746,2.5,
,,,2.5,
,,,2.44,
,,,1.25,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.44,
,,,2.44,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
3.9,26.86,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.44,
,,,2.44,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
4.2,26.89,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.44,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
4.0,26.93,446.01,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.5,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.69,
,,,2.38,
,,,2.38,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
4.3,27.03,,2.75,98.2
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
4.3,27.15,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.5,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.25,
,,,2.25,
,,,2.75,
,,,2.75,
,,,2.75,
4.4,27.29,451.191,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.69,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.69,
4.1,27.31,,2.69,99.9
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.69,
,,,2.75,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.88,
,,,2.0,
,,,1.75,
,,,3.0,
,,,3.0,
3.9,27.35,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.5,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.5,
,,,2.5,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
3.9,27.51,460.463,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,2.94,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,2.5,
,,,3.0,
,,,2.94,
,,,2.94,
,,,2.94,
,,,2.94,
,,,2.94,
,,,2.94,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,3.0,
4.3,27.51,,3.0,100.2
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.88,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,2.88,
,,,2.88,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.25,
,,,1.0,
,,,2.63,
,,,3.0,
4.2,27.63,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.5,
,,,2.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.75,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
4.2,27.67,469.779,3.0,
,,,1.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.25,
,,,2.5,
,,,2.94,
,,,2.94,
,,,2.94,
,,,2.94,
,,,2.94,
,,,2.88,
,,,2.5,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,2.88,
,,,2.5,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
3.9,27.8,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
3.7,27.86,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.75,
,,,2.25,
,,,3.0,
,,,2.94,
,,,2.94,
,,,2.94,
3.9,27.93,472.025,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
4.1,28.0,,3.0,92.9
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
4.3,28.11,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
